=== Recapitulatif Tournoi IA ===
Date: 2026-05-10 13:32:39
IA Joueur 1: IADIFFICILE
IA Joueur 2: IAMOYENNE
Profondeur J1: 3 | Profondeur J2: 4
Nombre de combats: 100/100
Tours max par combat: 30

Victoires J1: 56
Defaites J1: 44
Victoires J2: 44
Defaites J2: 56
Matchs nuls: 0
Temps total tournoi: 244,019 s
Temps moyen coup J1 (IADIFFICILE): 8,725 ms
Temps moyen coup J2 (IAMOYENNE): 207,407 ms
Temps moyen coup global: 106,078 ms

=== Details par combat ===
Combat 91 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=1,158 s | avgCoupJ1=4,266 | avgCoupJ2=72,923
Combat 92 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,501 s | avgCoupJ1=9,967 | avgCoupJ2=156,728
Combat 93 | issue=J2 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,053 s | avgCoupJ1=8,522 | avgCoupJ2=128,336
Combat 94 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=2,864 s | avgCoupJ1=7,520 | avgCoupJ2=212,217
Combat 95 | issue=J2 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=2,660 s | avgCoupJ1=9,149 | avgCoupJ2=256,838
Combat 96 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=28 | duree=4,378 s | avgCoupJ1=8,578 | avgCoupJ2=304,089
Combat 97 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=5,191 s | avgCoupJ1=8,896 | avgCoupJ2=462,155
Combat 98 | issue=J2 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,896 s | avgCoupJ1=14,570 | avgCoupJ2=178,511
Combat 99 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,399 s | avgCoupJ1=9,351 | avgCoupJ2=150,600
Combat 100 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=4,435 s | avgCoupJ1=9,776 | avgCoupJ2=285,881
